login_hour,failed_logins,usb_usage,files_accessed,emails_sent,downloads,after_hours,role,risk
20,6,0,119,23,3,1,Manager,1
10,3,1,84,43,24,1,Manager,1
8,1,1,5,69,3,1,Employee,1
20,1,0,194,3,15,0,Employee,0
19,2,0,33,60,7,0,Manager,0
22,4,1,43,77,38,0,Employee,1
9,1,0,80,73,24,1,Admin,1
6,1,0,27,38,38,0,Admin,1
1,5,1,170,47,4,1,Employee,1
13,7,0,111,46,40,1,Admin,1
4,6,0,188,66,17,1,Manager,1
13,9,1,83,31,5,1,Manager,1
7,7,1,87,3,31,1,Employee,1
15,3,1,67,43,17,1,Admin,1
0,8,0,22,30,26,1,Admin,1
7,7,1,115,2,5,1,Employee,1
12,3,1,170,74,23,1,Admin,1
16,5,1,191,70,21,1,Admin,1
14,4,1,65,29,7,0,Manager,1
3,8,0,50,27,30,1,Admin,1
18,8,1,26,24,18,0,Manager,1
5,4,0,182,68,8,1,Employee,1
1,8,1,179,16,40,1,Employee,1
0,9,1,121,61,28,1,Employee,1
1,4,1,30,8,25,1,Employee,1
18,10,0,39,19,36,1,Employee,1
7,1,1,156,76,39,0,Admin,1
12,7,1,77,75,27,1,Admin,1
19,0,0,196,26,40,0,Manager,1
21,1,0,62,22,35,0,Employee,1
0,6,1,177,76,30,1,Employee,1
7,4,1,180,58,4,0,Manager,1
20,9,0,109,14,34,0,Admin,1
4,4,0,19,7,10,1,Admin,1
23,9,1,113,15,29,1,Admin,1
12,4,1,113,10,38,0,Manager,1
23,5,1,7,11,14,0,Admin,1
8,9,0,196,22,30,1,Manager,1
5,9,1,163,62,5,1,Manager,1
13,5,1,172,13,10,1,Manager,1
22,7,1,170,51,35,0,Manager,1
2,5,1,83,14,25,0,Admin,1
17,7,1,14,24,33,1,Admin,1
15,10,1,195,6,13,1,Admin,1
4,4,1,179,62,7,0,Admin,1
19,3,0,80,70,0,1,Employee,1
7,1,1,31,19,31,1,Admin,1
22,4,1,124,60,15,1,Admin,1
4,6,0,154,65,8,0,Manager,1
13,5,1,1,36,19,1,Employee,1
14,8,1,89,42,35,1,Manager,1
10,3,0,147,49,14,1,Employee,1
10,7,1,99,19,31,0,Employee,1
16,9,1,26,56,6,1,Employee,1
23,2,1,168,19,4,1,Manager,1
10,9,1,167,10,21,1,Manager,1
20,7,0,159,8,15,1,Employee,1
23,1,1,26,12,28,0,Admin,1
9,0,0,84,7,18,1,Manager,1
13,2,0,136,52,36,0,Employee,1
5,1,1,159,30,31,0,Employee,1
14,10,1,118,32,0,1,Manager,1
21,8,0,19,56,22,1,Admin,1
13,4,1,78,25,24,1,Employee,1
7,6,1,148,37,18,0,Admin,1
12,4,0,145,6,38,1,Manager,1
7,9,1,57,24,39,1,Admin,1
23,10,0,161,12,40,0,Manager,1
14,0,1,188,16,5,1,Manager,1
23,6,0,52,16,34,1,Admin,1
16,4,0,66,61,18,1,Employee,1
14,1,0,194,28,25,1,Employee,1
12,0,1,138,15,29,1,Admin,1
23,10,1,150,48,40,1,Employee,1
21,3,1,7,79,35,1,Admin,1
7,10,0,163,59,19,1,Employee,1
4,0,0,78,63,7,0,Employee,0
17,2,1,117,47,34,1,Admin,1
23,2,1,168,12,31,1,Manager,1
1,5,0,114,56,15,1,Employee,1
21,5,1,16,50,17,0,Employee,1
14,1,0,165,76,1,0,Manager,0
7,2,0,18,70,13,0,Employee,0
10,2,0,71,18,8,1,Employee,1
3,10,0,34,1,22,0,Admin,1
10,0,0,68,6,8,1,Admin,1
3,1,1,115,46,32,0,Manager,1
16,3,0,187,66,19,1,Admin,1
0,0,1,103,54,6,1,Admin,1
14,1,0,83,77,9,0,Employee,0
8,9,1,98,76,33,1,Manager,1
16,9,1,26,14,35,0,Manager,1
14,3,1,87,58,25,1,Admin,1
3,5,1,81,32,23,0,Admin,1
15,1,0,22,11,27,0,Admin,1
23,5,0,143,7,37,1,Admin,1
3,6,1,171,54,3,1,Admin,1
9,5,0,148,64,13,0,Admin,0
15,3,0,90,71,23,0,Manager,1
18,3,1,144,79,39,0,Admin,1
21,4,0,47,34,19,1,Manager,1
0,2,0,145,51,4,0,Admin,0
20,0,0,192,67,13,1,Manager,1
14,5,0,95,39,20,0,Employee,0
4,2,0,173,10,17,1,Admin,1
13,7,1,107,34,13,0,Manager,1
13,1,1,174,75,31,1,Employee,1
7,6,0,2,26,19,0,Employee,1
8,4,1,31,0,31,1,Employee,1
4,6,0,129,71,22,0,Manager,1
23,0,1,5,58,4,1,Admin,1
13,9,1,182,53,18,0,Manager,1
0,5,0,159,58,23,0,Manager,1
3,3,1,151,51,33,0,Manager,1
9,5,0,86,21,4,0,Admin,0
16,3,1,90,18,15,0,Employee,1
8,3,0,155,19,4,0,Admin,0
15,7,1,175,72,40,1,Admin,1
10,2,1,18,60,28,1,Manager,1
18,0,1,130,9,19,1,Manager,1
1,0,1,74,9,5,1,Manager,1
18,8,0,116,73,12,1,Admin,1
15,8,0,16,57,6,1,Admin,1
2,8,0,11,31,28,1,Admin,1
16,9,0,94,47,18,1,Manager,1
10,10,0,162,42,4,1,Employee,1
17,10,1,73,32,38,0,Manager,1
2,9,0,90,39,25,0,Admin,1
22,1,1,144,48,21,0,Admin,1
22,10,0,166,54,32,1,Employee,1
11,4,0,55,43,31,0,Employee,1
4,2,0,76,12,32,0,Admin,1
10,9,0,153,48,9,0,Employee,1
22,9,0,185,56,2,1,Manager,1
21,3,1,157,36,28,0,Admin,1
7,4,1,50,47,36,1,Manager,1
9,6,1,42,25,38,0,Manager,1
1,10,1,96,70,6,0,Manager,1
2,2,1,116,65,9,1,Employee,1
7,7,1,7,53,3,1,Admin,1
11,3,1,21,47,14,0,Manager,1
3,10,1,38,17,2,1,Manager,1
22,2,1,115,78,0,0,Employee,1
8,3,0,141,77,33,1,Employee,1
9,3,1,32,6,15,1,Admin,1
19,7,0,29,63,38,0,Admin,1
16,9,0,184,18,18,1,Employee,1
19,5,0,147,53,11,0,Admin,0
11,1,0,100,60,2,1,Manager,1
8,0,1,18,44,15,0,Admin,1
23,5,0,12,45,34,1,Admin,1
5,10,1,179,61,40,0,Employee,1
2,7,0,76,25,2,0,Employee,1
10,4,1,140,60,16,0,Admin,1
6,4,1,200,6,21,1,Employee,1
11,6,1,191,56,24,1,Employee,1
15,7,1,133,34,5,1,Employee,1
13,9,0,140,37,20,0,Employee,1
10,10,1,79,57,38,1,Employee,1
22,7,1,115,5,22,1,Manager,1
20,0,0,172,51,23,0,Employee,1
4,9,1,9,16,4,0,Admin,1
11,5,1,146,4,38,0,Admin,1
14,5,1,114,9,36,0,Admin,1
11,6,1,167,35,15,0,Employee,1
23,2,1,133,49,35,0,Manager,1
8,7,0,157,36,31,0,Employee,1
4,1,1,45,56,5,1,Admin,1
11,1,1,77,20,40,0,Manager,1
16,3,0,52,17,15,1,Employee,1
11,8,1,120,70,8,0,Employee,1
9,6,1,135,52,26,0,Employee,1
10,10,0,116,59,33,1,Employee,1
17,10,0,197,16,27,0,Employee,1
16,2,1,43,20,20,0,Manager,1
16,4,0,65,25,40,1,Employee,1
20,4,0,129,21,37,0,Employee,1
21,9,1,145,5,1,0,Employee,1
20,9,1,167,26,36,1,Admin,1
20,0,1,161,69,18,1,Manager,1
7,10,1,77,58,4,0,Employee,1
14,6,1,119,26,21,0,Manager,1
22,5,1,103,16,23,0,Manager,1
7,7,0,69,57,15,0,Employee,1
1,4,1,158,53,15,0,Manager,1
18,5,0,196,20,31,1,Manager,1
9,7,0,24,50,32,1,Employee,1
6,9,1,13,6,18,1,Admin,1
20,10,1,74,68,0,0,Manager,1
4,4,1,196,51,23,0,Manager,1
1,9,0,93,70,18,0,Manager,1
16,7,1,160,78,7,0,Employee,1
12,5,1,143,46,9,0,Admin,1
16,6,0,12,4,8,1,Manager,1
16,7,0,156,65,8,1,Admin,1
10,2,1,158,38,37,1,Admin,1
16,8,1,182,72,19,1,Employee,1
11,5,0,107,74,19,0,Admin,0
15,4,0,185,6,37,1,Employee,1
16,10,1,38,31,2,0,Employee,1
0,7,1,108,19,26,0,Manager,1
16,9,1,189,7,8,0,Admin,1
10,10,1,135,48,20,0,Manager,1
17,5,1,174,33,39,1,Employee,1
7,4,1,58,38,18,0,Admin,1
22,7,1,123,44,35,1,Manager,1
3,9,1,102,44,9,1,Employee,1
9,1,1,114,32,30,0,Employee,1
17,4,1,36,13,39,0,Employee,1
1,10,0,164,29,3,0,Manager,1
10,7,0,175,17,0,0,Manager,1
20,7,1,167,25,18,1,Manager,1
20,0,0,167,73,14,0,Employee,0
13,2,0,102,63,11,1,Employee,1
0,4,0,86,36,29,1,Employee,1
16,7,1,50,14,21,0,Admin,1
14,10,1,184,23,0,1,Manager,1
18,10,0,45,78,40,1,Manager,1
16,5,0,103,12,11,0,Manager,0
10,3,0,67,49,15,1,Manager,1
10,4,0,67,46,15,0,Admin,0
3,7,1,41,51,32,1,Admin,1
3,10,1,95,78,14,0,Employee,1
15,2,1,192,77,23,1,Admin,1
17,7,0,196,31,38,0,Admin,1
14,8,1,20,72,7,0,Admin,1
16,3,0,43,41,33,1,Employee,1
21,3,1,24,65,28,0,Manager,1
4,8,1,117,72,3,1,Admin,1
9,0,1,66,0,13,0,Employee,1
13,5,0,139,7,4,1,Employee,1
9,6,0,197,17,26,1,Manager,1
14,6,1,21,69,8,1,Employee,1
5,8,1,136,16,14,0,Employee,1
9,7,1,137,48,14,0,Manager,1
11,2,1,49,14,2,1,Admin,1
0,3,0,18,12,38,0,Manager,1
19,10,0,63,5,25,1,Employee,1
17,3,0,36,64,18,0,Admin,0
18,5,1,61,38,9,0,Manager,1
9,4,0,143,75,11,1,Admin,1
15,0,1,165,48,33,1,Admin,1
13,6,0,77,48,11,1,Employee,1
7,4,0,119,7,35,1,Manager,1
17,8,0,100,31,16,0,Manager,1
20,1,1,95,11,34,0,Employee,1
8,6,0,19,24,37,0,Manager,1
6,5,1,4,27,12,0,Admin,1
15,3,0,102,30,35,1,Manager,1
12,7,1,79,33,23,1,Manager,1
3,7,1,53,47,20,1,Employee,1
18,3,0,5,33,35,1,Manager,1
4,3,1,59,48,36,0,Manager,1
17,10,1,66,62,31,1,Employee,1
23,5,0,36,69,31,0,Admin,1
20,0,0,20,6,0,1,Employee,1
20,3,0,182,19,0,0,Admin,0
14,5,0,159,78,30,1,Employee,1
0,8,1,4,2,33,1,Admin,1
9,0,1,46,13,6,0,Employee,1
6,9,1,91,34,25,0,Manager,1
12,7,0,179,28,19,0,Admin,1
20,0,0,104,48,24,1,Employee,1
20,0,0,22,63,27,1,Admin,1
3,8,0,59,27,36,1,Manager,1
1,1,1,140,72,2,0,Manager,1
0,3,0,193,50,4,1,Employee,1
18,3,1,174,69,21,1,Admin,1
4,1,1,14,12,27,0,Employee,1
10,9,1,199,41,1,1,Manager,1
15,3,1,142,48,27,0,Admin,1
18,10,1,22,79,18,0,Admin,1
2,1,1,40,48,40,0,Admin,1
12,5,1,28,11,0,1,Manager,1
11,4,0,34,11,11,1,Manager,1
17,8,1,27,3,5,1,Admin,1
2,9,1,99,1,18,1,Manager,1
2,8,0,147,66,10,1,Employee,1
4,4,1,69,63,9,0,Employee,1
13,4,1,77,61,4,1,Manager,1
7,10,1,153,78,12,1,Employee,1
4,4,0,102,42,39,1,Manager,1
14,5,1,167,76,8,1,Manager,1
19,3,1,81,22,25,1,Manager,1
23,10,1,148,31,20,1,Manager,1
12,5,0,145,25,37,0,Admin,1
17,0,1,182,26,28,1,Admin,1
2,6,1,36,38,15,1,Admin,1
4,6,1,19,57,38,1,Admin,1
12,8,1,140,4,23,0,Employee,1
7,10,1,43,78,2,1,Manager,1
13,1,0,26,33,14,0,Manager,0
11,6,1,198,75,32,0,Manager,1
0,7,0,76,53,5,0,Admin,1
4,5,1,88,58,13,1,Manager,1
15,1,1,185,57,20,0,Manager,1
1,1,0,88,13,10,0,Admin,0
5,8,0,85,71,27,1,Employee,1
12,10,0,48,55,25,0,Admin,1
19,3,1,152,54,24,0,Admin,1
6,3,1,193,8,36,0,Admin,1
5,5,1,51,58,7,1,Admin,1
15,8,1,153,49,39,1,Admin,1
3,5,1,118,79,11,1,Admin,1
18,1,0,81,15,15,1,Employee,1
5,5,0,131,49,26,0,Admin,1
12,6,0,125,68,11,0,Manager,1
9,2,0,81,57,39,0,Manager,1
0,7,0,50,49,35,1,Manager,1
21,7,1,182,56,31,0,Employee,1
18,0,0,75,4,17,0,Admin,0
9,2,1,145,63,35,0,Admin,1
3,4,1,139,5,28,0,Manager,1
3,10,0,77,4,28,1,Manager,1
2,7,0,199,30,13,1,Admin,1
19,10,1,43,78,8,0,Employee,1
1,9,1,137,35,38,0,Manager,1
22,4,1,147,34,32,0,Employee,1
13,0,1,168,16,8,0,Employee,1
22,5,0,195,50,31,0,Admin,1
20,4,1,97,57,4,0,Manager,1
16,4,1,117,62,20,0,Admin,1
2,7,1,17,68,25,0,Manager,1
6,7,1,83,36,21,0,Admin,1
15,5,0,12,12,40,1,Employee,1
3,2,1,117,0,27,0,Admin,1
4,10,1,41,35,5,1,Manager,1
2,5,0,14,50,40,1,Admin,1
22,3,1,168,11,6,0,Employee,1
15,1,0,152,28,33,1,Employee,1
0,5,0,109,16,30,0,Employee,1
12,1,0,27,40,23,1,Employee,1
12,2,0,18,67,36,0,Admin,1
20,2,1,90,27,40,0,Manager,1
19,10,1,56,11,6,0,Employee,1
18,6,1,110,40,8,0,Manager,1
20,1,0,142,76,38,1,Admin,1
0,10,1,53,66,38,0,Admin,1
12,4,0,62,63,24,0,Employee,1
15,10,0,136,1,23,1,Employee,1
12,9,1,94,69,11,1,Employee,1
0,9,0,4,33,13,0,Employee,1
12,8,1,161,64,26,1,Admin,1
12,1,0,72,10,19,0,Admin,0
6,2,1,101,75,40,0,Manager,1
22,6,0,15,31,5,1,Employee,1
14,9,0,80,22,7,0,Admin,1
4,0,0,128,44,33,1,Employee,1
11,2,1,188,15,1,1,Manager,1
8,8,0,68,73,40,0,Manager,1
14,8,1,15,63,36,0,Manager,1
5,4,0,147,14,14,0,Employee,0
0,3,0,121,46,24,0,Employee,1
1,8,1,58,41,15,1,Admin,1
10,4,0,147,47,7,0,Employee,0
7,8,0,103,8,29,1,Manager,1
10,1,1,3,47,12,1,Admin,1
9,9,0,119,47,37,1,Employee,1
23,8,0,39,0,26,0,Employee,1
17,5,0,86,0,24,1,Employee,1
6,8,0,108,62,3,0,Admin,1
8,1,0,60,66,26,1,Manager,1
23,1,0,130,17,40,1,Employee,1
18,9,0,112,16,15,1,Manager,1
10,6,1,82,57,17,0,Employee,1
6,2,0,40,13,10,1,Manager,1
10,6,0,138,45,13,1,Manager,1
14,4,0,24,20,19,0,Employee,0
10,2,0,183,31,22,1,Admin,1
1,10,1,67,22,1,1,Manager,1
17,8,0,25,59,6,0,Employee,1
0,0,0,34,25,25,1,Admin,1
20,10,0,150,75,16,0,Employee,1
2,3,1,33,11,21,0,Employee,1
14,0,0,147,55,25,1,Employee,1
12,10,1,45,45,13,0,Manager,1
8,7,0,9,78,39,0,Admin,1
9,7,1,141,61,3,0,Manager,1
12,2,1,52,67,15,0,Manager,1
22,5,1,140,62,22,1,Manager,1
8,2,0,82,76,14,0,Manager,0
1,7,1,197,74,14,0,Employee,1
7,10,0,69,68,3,0,Admin,1
12,5,0,46,30,37,1,Admin,1
22,5,0,181,45,36,0,Admin,1
6,7,1,45,62,2,0,Employee,1
7,9,0,6,67,30,0,Manager,1
19,3,0,88,22,20,0,Employee,0
4,9,0,199,14,33,1,Employee,1
11,10,1,151,12,21,1,Manager,1
4,2,1,164,62,20,0,Admin,1
17,9,1,58,75,11,1,Manager,1
23,4,0,46,0,36,1,Admin,1
1,2,1,157,28,40,0,Manager,1
4,5,0,61,44,20,0,Admin,0
2,10,1,115,1,16,0,Employee,1
22,1,1,66,13,0,0,Manager,1
14,6,0,106,63,24,1,Admin,1
12,1,1,148,28,10,1,Employee,1
1,4,0,82,33,6,0,Manager,0
5,6,0,188,9,35,0,Manager,1
19,9,1,181,3,27,0,Admin,1
13,2,0,26,42,13,0,Manager,0
22,8,1,170,36,19,0,Employee,1
1,6,1,40,6,23,0,Manager,1
2,4,1,52,12,1,0,Employee,1
20,4,0,122,14,19,1,Manager,1
15,10,1,24,69,24,0,Manager,1
12,5,0,115,5,16,1,Manager,1
8,3,1,145,7,9,0,Employee,1
21,5,1,194,75,14,0,Manager,1
16,6,1,147,30,30,1,Employee,1
12,0,0,31,57,11,0,Employee,0
6,2,0,109,10,27,0,Admin,1
4,9,1,82,8,5,1,Admin,1
12,8,1,71,66,29,0,Admin,1
19,9,1,29,53,9,0,Admin,1
18,9,0,28,72,6,1,Admin,1
11,6,1,99,62,36,1,Employee,1
5,4,1,37,79,38,1,Employee,1
12,5,0,13,60,17,1,Employee,1
10,4,1,72,62,6,0,Employee,1
9,7,1,69,53,38,0,Employee,1
14,3,1,190,62,33,1,Employee,1
16,2,0,80,64,25,0,Admin,1
18,0,0,50,25,3,0,Employee,0
14,0,1,181,25,17,1,Manager,1
16,6,0,175,3,15,1,Manager,1
19,7,0,122,75,35,1,Manager,1
5,4,0,73,3,24,0,Employee,1
18,3,0,166,28,13,1,Admin,1
13,8,0,200,1,30,0,Admin,1
5,9,0,58,32,38,1,Admin,1
22,10,1,109,48,22,1,Manager,1
6,7,1,174,66,39,1,Admin,1
3,0,1,144,76,38,1,Manager,1
21,1,1,17,43,17,1,Manager,1
8,10,1,49,19,33,0,Employee,1
19,6,1,175,17,1,1,Manager,1
8,6,1,100,4,37,0,Manager,1
23,3,1,172,45,32,1,Employee,1
21,8,0,76,12,30,0,Admin,1
8,8,0,175,42,5,0,Manager,1
7,4,1,85,47,16,1,Manager,1
3,7,0,163,74,37,0,Manager,1
6,8,0,175,48,33,1,Manager,1
1,2,0,52,43,26,1,Employee,1
10,2,0,125,42,40,0,Manager,1
20,0,0,116,35,13,0,Admin,0
5,7,0,34,78,27,1,Manager,1
13,7,1,2,4,34,0,Admin,1
11,0,1,194,67,12,0,Admin,1
0,10,0,58,44,19,0,Employee,1
12,8,1,43,8,2,1,Manager,1
14,8,1,112,17,21,1,Manager,1
6,2,1,5,29,14,0,Employee,1
23,0,0,32,46,2,1,Admin,1
8,8,0,153,6,6,0,Employee,1
22,1,1,114,48,7,1,Manager,1
22,2,0,178,80,0,1,Manager,1
21,1,1,160,77,8,1,Employee,1
16,9,0,73,14,6,1,Employee,1
19,3,1,134,25,22,1,Manager,1
5,0,1,54,61,21,0,Employee,1
0,10,0,29,73,31,0,Employee,1
16,1,0,66,29,29,1,Manager,1
14,0,0,45,5,18,1,Admin,1
10,6,0,25,5,0,0,Admin,1
20,2,1,92,56,39,1,Admin,1
2,5,1,47,14,25,1,Manager,1
8,6,1,108,21,7,0,Admin,1
23,0,0,27,53,37,1,Admin,1
21,7,0,157,48,22,0,Admin,1
23,2,1,125,14,26,1,Employee,1
2,4,1,4,67,36,0,Admin,1
10,8,0,111,31,30,1,Admin,1
21,10,1,39,71,39,0,Employee,1
20,2,1,127,21,4,1,Manager,1
7,5,1,13,64,14,1,Manager,1
7,1,1,114,73,28,0,Manager,1
14,5,0,128,2,6,1,Manager,1
1,8,0,24,77,39,1,Admin,1
17,3,1,88,46,3,0,Manager,1
10,8,1,184,46,28,0,Employee,1
21,3,0,88,45,40,1,Admin,1
16,5,0,12,21,31,0,Admin,1
23,6,0,66,78,12,0,Employee,1
12,3,1,49,43,6,1,Employee,1
20,10,0,198,57,29,0,Manager,1
0,8,0,142,55,37,1,Admin,1
5,9,0,188,16,6,1,Admin,1
19,9,1,130,49,26,0,Manager,1
12,5,1,116,17,8,1,Admin,1
22,8,1,180,70,20,0,Employee,1
6,9,1,176,44,8,0,Admin,1
17,10,1,182,14,22,1,Admin,1
18,10,1,173,68,18,1,Employee,1
16,1,0,98,18,3,0,Employee,0
8,2,1,175,32,9,0,Admin,1
9,3,0,92,57,6,0,Admin,0
20,8,1,61,65,18,0,Manager,1
12,6,1,142,6,0,1,Employee,1
19,7,0,163,47,37,0,Admin,1
6,4,1,46,9,11,0,Admin,1
16,1,1,11,54,17,1,Employee,1
5,9,1,2,42,29,0,Employee,1
4,5,0,199,80,39,1,Manager,1
18,8,1,19,40,33,0,Employee,1
16,1,0,107,69,34,1,Employee,1
11,3,0,170,42,21,1,Manager,1
6,9,1,144,1,7,1,Manager,1
7,10,0,11,41,24,0,Manager,1
8,8,1,7,66,23,1,Manager,1
1,4,0,83,65,5,0,Employee,0
17,8,0,161,8,13,0,Admin,1
13,1,0,138,55,4,0,Employee,0
14,5,0,23,9,3,0,Manager,0
17,1,0,67,52,24,1,Admin,1
12,6,1,5,49,7,0,Admin,1
23,9,0,194,74,2,0,Manager,1
16,1,1,176,38,38,0,Manager,1
14,6,1,170,3,30,0,Admin,1
7,2,1,140,37,40,0,Manager,1
21,10,1,3,70,35,0,Employee,1
1,0,1,138,70,5,1,Employee,1
23,5,0,106,65,9,0,Employee,0
7,9,1,50,14,11,0,Admin,1
14,10,0,75,8,16,0,Employee,1
23,9,1,85,45,8,0,Employee,1
9,9,0,50,40,31,1,Manager,1
19,10,1,178,74,9,1,Manager,1
13,2,0,81,31,14,1,Manager,1
11,2,1,123,59,28,1,Manager,1
15,8,0,45,77,5,1,Employee,1
17,3,1,188,80,4,0,Employee,1
16,10,0,149,74,25,0,Employee,1
17,4,1,168,19,23,1,Employee,1
18,4,0,119,64,32,0,Manager,1
11,8,0,170,30,39,0,Admin,1
4,7,0,46,72,36,0,Admin,1
23,7,1,11,28,31,0,Employee,1
8,5,0,11,26,33,1,Manager,1
15,7,0,11,41,6,1,Admin,1
8,9,0,97,48,23,0,Admin,1
8,6,0,133,51,22,1,Manager,1
15,9,0,129,17,28,0,Employee,1
2,8,1,55,19,11,0,Manager,1
19,1,0,107,42,7,1,Admin,1
15,7,0,152,20,26,0,Employee,1
1,2,0,35,80,32,0,Admin,1
4,0,0,67,23,33,1,Admin,1
18,10,0,185,36,5,0,Manager,1
19,7,1,44,28,26,0,Admin,1
5,9,1,43,43,29,0,Employee,1
12,6,0,28,2,12,1,Employee,1
19,1,0,122,78,38,0,Admin,1
16,1,0,124,16,38,0,Admin,1
20,6,1,95,5,33,1,Employee,1
15,6,1,151,73,6,1,Employee,1
8,7,0,22,36,38,1,Manager,1
6,0,0,148,66,7,0,Manager,0
20,3,1,105,46,6,0,Manager,1
20,9,1,67,68,27,1,Admin,1
8,10,1,194,26,26,1,Employee,1
11,8,1,65,39,36,1,Admin,1
12,2,0,192,29,28,0,Employee,1
6,8,1,87,70,39,0,Employee,1
12,10,0,24,18,30,1,Employee,1
2,4,0,95,10,38,0,Admin,1
12,6,1,183,76,3,0,Admin,1
15,7,0,52,66,18,0,Employee,1
19,8,0,158,21,2,1,Employee,1
20,0,0,23,35,25,1,Admin,1
12,6,0,133,1,4,0,Admin,1
9,8,1,89,35,14,0,Manager,1
12,9,0,67,22,26,0,Admin,1
2,8,1,88,14,32,1,Admin,1
18,4,1,97,72,30,0,Manager,1
14,10,1,151,3,30,0,Manager,1
2,6,0,174,29,20,1,Manager,1
16,8,0,180,33,15,1,Employee,1
12,10,1,20,70,11,1,Manager,1
11,3,1,47,24,31,0,Employee,1
23,3,1,53,29,12,0,Admin,1
11,2,0,31,10,31,0,Admin,1
1,7,1,159,40,31,1,Manager,1
5,8,1,102,28,36,0,Employee,1
16,6,1,139,4,32,1,Manager,1
21,2,1,31,66,29,1,Admin,1
0,0,0,98,74,6,1,Manager,1
19,4,0,141,33,15,1,Manager,1
19,5,1,48,63,27,0,Manager,1
22,5,1,103,35,28,0,Admin,1
4,9,0,26,34,15,1,Manager,1
6,2,0,122,1,11,1,Manager,1
4,10,1,125,38,16,0,Manager,1
3,2,0,56,32,30,0,Manager,1
23,5,1,93,46,35,1,Manager,1
0,6,0,90,77,12,0,Manager,1
11,5,1,199,57,5,1,Admin,1
9,7,0,43,43,26,1,Employee,1
2,2,1,59,40,20,1,Admin,1
8,9,1,70,56,23,1,Manager,1
5,2,0,33,30,16,0,Employee,0
5,6,0,25,8,30,0,Employee,1
12,8,0,27,33,39,0,Employee,1
20,6,1,59,31,18,1,Admin,1
4,2,0,8,4,22,1,Manager,1
14,8,1,141,56,8,0,Admin,1
19,7,1,135,68,19,1,Manager,1
17,3,0,114,39,23,1,Manager,1
4,4,0,1,66,8,1,Manager,1
15,8,0,177,62,30,1,Employee,1
13,4,0,2,70,23,0,Manager,1
17,6,1,64,20,24,1,Employee,1
